                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                 1.2421,                0.67001,                 1.0491,                0.94133,                0.93299,                0.97229,                 0.6559,                 1.1787,                0.52192,                 1.0306,               0.005281,               0.005281,               0.005281
                    145,                 1.2428,                0.66934,                 1.0498,                0.94167,                0.93318,                0.97242,                0.65618,                 1.1777,                  0.521,                 1.0299,               0.005248,               0.005248,               0.005248
                    146,                 1.2391,                0.66916,                 1.0483,                0.94184,                0.93274,                0.97265,                0.65654,                 1.1765,                0.52068,                 1.0294,               0.005215,               0.005215,               0.005215
                    147,                 1.2444,                0.67035,                 1.0493,                0.94229,                0.93299,                0.97256,                0.65683,                 1.1752,                0.51965,                 1.0289,               0.005182,               0.005182,               0.005182
                    148,                 1.2382,                0.67129,                 1.0504,                0.94287,                0.93276,                 0.9727,                0.65722,                 1.1742,                0.51927,                 1.0285,               0.005149,               0.005149,               0.005149
                    149,                 1.2381,                0.66727,                  1.049,                0.94266,                0.93338,                0.97185,                 0.6574,                 1.1738,                0.51896,                 1.0282,               0.005116,               0.005116,               0.005116
                    150,                 1.2386,                0.66578,                 1.0482,                0.94267,                0.93402,                0.97265,                0.65738,                 1.1734,                0.51859,                  1.028,               0.005083,               0.005083,               0.005083
                    151,                 1.2423,                0.66952,                 1.0519,                0.94266,                0.93337,                 0.9719,                0.65786,                 1.1724,                0.51788,                 1.0278,                0.00505,                0.00505,                0.00505
                    152,                 1.2364,                 0.6648,                 1.0494,                0.94276,                 0.9335,                0.97196,                0.65806,                 1.1721,                0.51761,                 1.0276,               0.005017,               0.005017,               0.005017
                    153,                  1.235,                0.66403,                 1.0468,                0.94304,                0.93376,                0.97199,                0.65877,                 1.1716,                0.51706,                 1.0272,               0.004984,               0.004984,               0.004984
                    154,                 1.2294,                0.66142,                 1.0454,                0.94163,                0.93427,                0.97233,                0.65882,                 1.1707,                0.51697,                 1.0269,               0.004951,               0.004951,               0.004951
                    155,                  1.232,                0.66567,                 1.0468,                0.94252,                0.93402,                0.97237,                0.65933,                 1.1698,                0.51667,                 1.0263,               0.004918,               0.004918,               0.004918
                    156,                 1.2331,                0.66251,                 1.0438,                0.94295,                0.93419,                0.97259,                0.65945,                 1.1684,                0.51596,                 1.0257,               0.004885,               0.004885,               0.004885
